ticker,company,sector,quarter,speaker,role,utterance,word_count,sentiment,positive_score,negative_score,neutral_score,confidence
BAJAJFIN,Bajaj Finance,NBFC,Q1FY25,Rajeev Jain,Management,"Thank you. Thank you, Ajit. Thank you, JM, for hosting this call. Good evening, all.",15,neutral,0.3525719940662384,0.013653190806508064,0.6337748169898987,0.6337748169898987
BAJAJFIN,Bajaj Finance,NBFC,Q1FY25,Sandeep Jain,Management,"So that other number is the net gain on fair value change, where we have INR 79",17,neutral,0.06549928337335587,0.024320896714925766,0.910179853439331,0.910179853439331
BAJAJFIN,Bajaj Finance,NBFC,Q1FY25,Rajeev Jain,Management,"Adjusted for this, the number is flat on a sequential quarter basis. I thought I'll just",16,negative,0.03744623064994812,0.5850919485092163,0.3774617910385132,0.5850919485092163
BAJAJFIN,Bajaj Finance,NBFC,Q1FY25,Rajeev Jain,Management,"Viral, the only point I would like to make is that every incident must have learnings",16,neutral,0.03916066512465477,0.05568714812397957,0.9051521420478821,0.9051521420478821
BAJAJFIN,Bajaj Finance,NBFC,Q1FY25,Sandeep Jain,Management,Yes. I think Viral this question was asked last quarter as well. We have given a,16,neutral,0.08853542059659958,0.019635576754808426,0.8918290138244629,0.8918290138244629
BAJAJFIN,Bajaj Finance,NBFC,Q1FY25,Sandeep Jain,Management,"So I think on the fee income side, we have guided for 13% to 15% for the current",18,neutral,0.2064453661441803,0.01506821345537901,0.778486430644989,0.778486430644989
BAJAJFIN,Bajaj Finance,NBFC,Q1FY25,Rajeev Jain,Management,"Last time I do want to make that, the fee income grew 17%, just to add what Sandeep",18,neutral,0.21526771783828735,0.016809390857815742,0.7679228782653809,0.7679228782653809
BAJAJFIN,Bajaj Finance,NBFC,Q1FY25,Sandeep Jain,Management,"And last year's quarter was partially impacted by embargo as well, so to the extent on",16,negative,0.06097571551799774,0.6783707737922668,0.260653555393219,0.6783707737922668
BAJAJFIN,Bajaj Finance,NBFC,Q1FY25,Rajeev Jain,Management,"Not between unsecured to secured. Anyway, it's a tail effect. The secured gets a tail",15,neutral,0.05504871904850006,0.05403917655348778,0.8909120559692383,0.8909120559692383
BAJAJFIN,Bajaj Finance,NBFC,Q1FY25,Sandeep Jain,Management,"And Viral, in the same context, I think it's important that we call out, MSA business",16,neutral,0.09474053233861923,0.011847596615552902,0.8934119343757629,0.8934119343757629
BAJAJFIN,Bajaj Finance,NBFC,Q1FY25,Rajeev Jain,Management,No. The only way to do it is to offer the remediation. That's why as when I talked,18,neutral,0.060956116765737534,0.03147352859377861,0.9075703024864197,0.9075703024864197
BAJAJFIN,Bajaj Finance,NBFC,Q1FY25,Rajeev Jain,Management,"No, no. It was 5.5 , and it is down to 4.",12,negative,0.011906465515494347,0.9257254004478455,0.06236812472343445,0.9257254004478455
BAJAJFIN,Bajaj Finance,NBFC,Q1FY25,Rajeev Jain,Management,"This metric is being tracked. The only thing and where we've got -- partially, if I may",17,neutral,0.04245096445083618,0.026641324162483215,0.9309077262878418,0.9309077262878418
BAJAJFIN,Bajaj Finance,NBFC,Q1FY25,Rajeev Jain,Management,"It can be very big. Piran, the issue is used car and new car put together must make",18,neutral,0.04163605347275734,0.04373570904135704,0.9146282076835632,0.9146282076835632
BAJAJFIN,Bajaj Finance,NBFC,Q1FY25,Rajeev Jain,Management,"Yes. As Viral said, what are the learnings is one of the learnings.",13,neutral,0.044299930334091187,0.028487063944339752,0.9272129535675049,0.9272129535675049
BAJAJFIN,Bajaj Finance,NBFC,Q1FY25,Sandeep Jain,Management,"The overall provisioning coverage has plenty of assets, including the composition of",12,neutral,0.09544628113508224,0.009292645379900932,0.8952611088752747,0.8952611088752747
BAJAJFIN,Bajaj Finance,NBFC,Q1FY25,Rajeev Jain,Management,"Yes. So Kuntal, 4.7 million new customer acquisition after last 2 years of record 15",15,positive,0.8654539585113525,0.012478484772145748,0.12206753343343735,0.8654539585113525
BAJAJFIN,Bajaj Finance,NBFC,Q1FY25,Rajeev Jain,Management,"Okay. So let me make the point, if you're an Apple now, if you go to share market on",19,neutral,0.06202583760023117,0.019060391932725906,0.9189138412475586,0.9189138412475586
BAJAJFIN,Bajaj Finance,NBFC,Q1FY25,Rajeev Jain,Management,"As I said, Abhishek, at this point in time, it will remain slow. I think, as I said, 17",19,neutral,0.08634912967681885,0.1177559420466423,0.7958949208259583,0.7958949208259583
BAJAJFIN,Bajaj Finance,NBFC,Q1FY25,Rajeev Jain,Management,"The mortgage, sit’s in mortgage and so on and so forth. If you see in the panel, you",18,neutral,0.02687046304345131,0.025387419387698174,0.9477421641349792,0.9477421641349792
