ticker,sector,quarter,role,speaker,sentence,topic_id,topic_label
BAJAJFIN,NBFC,Q1FY25,Management,Sandeep Jain,"So that other number is the net gain on fair value change, where we have INR 79",-1,General Discussion
BAJAJFIN,NBFC,Q1FY25,Management,Rajeev Jain,"Adjusted for this, the number is flat on a sequential quarter basis.",1,Analyst Q&A
BAJAJFIN,NBFC,Q1FY25,Analyst,Viral Shah,"But first, to begin with, I would say, it's glad to have you",2,Business Opportunities
BAJAJFIN,NBFC,Q1FY25,Management,Rajeev Jain,"Viral, the only point I would like to make is that every incident must have learnings",-1,General Discussion
BAJAJFIN,NBFC,Q1FY25,Management,Sandeep Jain,I think Viral this question was asked last quarter as well.,1,Analyst Q&A
BAJAJFIN,NBFC,Q1FY25,Analyst,Viral Shah,"And secondly, Sandeep, on the, say, growth guidance numbers on the non-",0,Cost & Sales Performance
BAJAJFIN,NBFC,Q1FY25,Management,Sandeep Jain,"So I think on the fee income side, we have guided for 13% to 15% for the current",-1,General Discussion
BAJAJFIN,NBFC,Q1FY25,Management,Rajeev Jain,"Last time I do want to make that, the fee income grew 17%, just to add what Sandeep",-1,General Discussion
BAJAJFIN,NBFC,Q1FY25,Management,Sandeep Jain,"And last year's quarter was partially impacted by embargo as well, so to the extent on",-1,General Discussion
BAJAJFIN,NBFC,Q1FY25,Analyst,Viral Shah,"And my last question, Rajeev, is for you.",3,Management Commentary
BAJAJFIN,NBFC,Q1FY25,Management,Sandeep Jain,"And Viral, in the same context, I think it's important that we call out, MSA business",-1,General Discussion
BAJAJFIN,NBFC,Q1FY25,Analyst,"Please go ahead.
Piran Engineer","Actually, my question was kind of answered you’re here,",1,Analyst Q&A
BAJAJFIN,NBFC,Q1FY25,Management,Rajeev Jain,The only way to do it is to offer the remediation.,0,Cost & Sales Performance
BAJAJFIN,NBFC,Q1FY25,Analyst,Piran Engineer,"And also on the B2C side, earlier we used to share",-1,General Discussion
BAJAJFIN,NBFC,Q1FY25,Management,Rajeev Jain,"It was 5.5 , and it is down to 4.",0,Cost & Sales Performance
BAJAJFIN,NBFC,Q1FY25,Management,Rajeev Jain,"The only thing and where we've got -- partially, if I may",1,Analyst Q&A
BAJAJFIN,NBFC,Q1FY25,Analyst,Piran Engineer,"And just lastly on growth or just in terms of scale-up, in car",0,Cost & Sales Performance
BAJAJFIN,NBFC,Q1FY25,Analyst,Piran Engineer,I thought you said the loan book is very small.,0,Cost & Sales Performance
BAJAJFIN,NBFC,Q1FY25,Analyst,Piran Engineer,I just want to get a sense of the,1,Analyst Q&A
BAJAJFIN,NBFC,Q1FY25,Management,Rajeev Jain,"Piran, the issue is used car and new car put together must make",1,Analyst Q&A
BAJAJFIN,NBFC,Q1FY25,Analyst,Piran Engineer,Thank you and wish you all the best.,2,Business Opportunities
BAJAJFIN,NBFC,Q1FY25,Management,Rajeev Jain,"As Viral said, what are the learnings is one of the learnings.",-1,General Discussion
BAJAJFIN,NBFC,Q1FY25,Analyst,Kunal Shah,"But anything with respect to the corporate structuring, maybe it was quite",0,Cost & Sales Performance
BAJAJFIN,NBFC,Q1FY25,Analyst,Kunal Shah,No changes in terms of the corporate structure which has been planned or maybe,0,Cost & Sales Performance
BAJAJFIN,NBFC,Q1FY25,Analyst,Kunal Shah,"And secondly, with respect to MSME, so you indicated maybe that's going",-1,General Discussion
BAJAJFIN,NBFC,Q1FY25,Management,Sandeep Jain,"The overall provisioning coverage has plenty of assets, including the composition of",-1,General Discussion
BAJAJFIN,NBFC,Q1FY25,Analyst,Kunal Shah,"Sir, fair to assume this restructuring is in SME because that's the only SME and",-1,General Discussion
BAJAJFIN,NBFC,Q1FY25,Analyst,"Please go ahead.
Kuntal Shah","Hi, thanks for taking my call and Rajeev thanks to have you back on the call.",2,Business Opportunities
BAJAJFIN,NBFC,Q1FY25,Management,Rajeev Jain,"So Kuntal, 4.7 million new customer acquisition after last 2 years of record 15",3,Management Commentary
BAJAJFIN,NBFC,Q1FY25,Analyst,Kuntal Shah,Partially but common unified super app was what I think makes sense from tech,-1,General Discussion
BAJAJFIN,NBFC,Q1FY25,Management,Rajeev Jain,"So let me make the point, if you're an Apple now, if you go to share market on",0,Cost & Sales Performance
BAJAJFIN,NBFC,Q1FY25,Analyst,Kuntal Shah,"So Rajeev, Does it mean you will tie up with more fintech, which are a lot of",-1,General Discussion
BAJAJFIN,NBFC,Q1FY25,Analyst,Kuntal Shah,More profit pools and nothing like that because you have...,-1,General Discussion
BAJAJFIN,NBFC,Q1FY25,Analyst,Abhishek M.,So the first one is going back to SME.,-1,General Discussion
BAJAJFIN,NBFC,Q1FY25,Management,Rajeev Jain,"As I said, Abhishek, at this point in time, it will remain slow.",-1,General Discussion
BAJAJFIN,NBFC,Q1FY25,Analyst,Abhishek Murarka,How much would be the total unsecured in this book?,-1,General Discussion
BAJAJFIN,NBFC,Q1FY25,Management,Rajeev Jain,"The mortgage, sit’s in mortgage and so on and so forth.",0,Cost & Sales Performance
BAJAJFIN,NBFC,Q1FY25,Analyst,Abhishek Murarka,"Sir, the other observation I had is that since it is mostly unsecured, typically when",-1,General Discussion
BAJAJFIN,NBFC,Q1FY25,Management,Sandeep Jain,Abhishek that's what I was trying to clarify earlier as well because the number of,-1,General Discussion
BAJAJFIN,NBFC,Q1FY25,Analyst,Abhishek Murarka,"The second question is on -- yes, the second question is on growth.",0,Cost & Sales Performance
BAJAJFIN,NBFC,Q1FY25,Management,Rajeev Jain,"I would think about one more quarter, Abhishek, before we give you a very clear",1,Analyst Q&A
BAJAJFIN,NBFC,Q1FY25,Management,Rajeev Jain,"Though, numbers plus minus happens all the time.",0,Cost & Sales Performance
BAJAJFIN,NBFC,Q1FY25,Analyst,Chintan,"Sir, can I come back on the NII?",-1,General Discussion
BAJAJFIN,NBFC,Q1FY25,Management,Sandeep Jain,I think the liquidity buffers were deployed more in,0,Cost & Sales Performance
BAJAJFIN,NBFC,Q1FY25,Analyst,Chintan,And how long will you hold this position?,-1,General Discussion
BAJAJFIN,NBFC,Q1FY25,Analyst,Chintan,"This is a duration of six months’ timeline,",-1,General Discussion
BAJAJFIN,NBFC,Q1FY25,Management,Sandeep Jain,"I think that was specific for quarter, because as the rates were coming down, the",-1,General Discussion
BAJAJFIN,NBFC,Q1FY25,Analyst,Chintan,"So, Sandeep, why should this go back up?",0,Cost & Sales Performance
BAJAJFIN,NBFC,Q1FY25,Management,Sandeep Jain,"It'll go into the interest income line, right?",-1,General Discussion
BAJAJFIN,NBFC,Q1FY25,Analyst,Chintan,"You gave some numbers, 2.5 went to 11 and",-1,General Discussion
BAJAJFIN,NBFC,Q1FY25,Analyst,Chintan,And can you -- do you have a view on why this has,1,Analyst Q&A
BAJAJFIN,NBFC,Q1FY25,Management,Rajeev Jain,"Look, business loans we've done for 18 years.",0,Cost & Sales Performance
BAJAJFIN,NBFC,Q1FY25,Management,Rajeev Jain,We have seen other than one lender in,0,Cost & Sales Performance
BAJAJFIN,NBFC,Q1FY25,Management,Rajeev Jain,It didn't come slowly; it came a little too suddenly is the only point I would make.,-1,General Discussion
BAJAJFIN,NBFC,Q1FY25,Analyst,"We are also a little surprised by it.
Chintan",So I suppose that's why banks aren't talking about it.,0,Cost & Sales Performance
BAJAJFIN,NBFC,Q1FY25,Analyst,Chintan,That you talked about on the macro is very broad based.,0,Cost & Sales Performance
BAJAJFIN,NBFC,Q1FY25,Analyst,Chintan,We can see it in a lot of economic indicators.,0,Cost & Sales Performance
BAJAJFIN,NBFC,Q1FY25,Analyst,Chintan,And it is quite -- it's already slowed,-1,General Discussion
BAJAJFIN,NBFC,Q1FY25,Analyst,Chintan,"I'm just wondering incrementally, how does this evolve over the next six months,",-1,General Discussion
BAJAJFIN,NBFC,Q1FY25,Management,Rajeev Jain,"I think, as I said, Chintan, earlier, we are just focusing on early MOB.",-1,General Discussion
BAJAJFIN,NBFC,Q1FY25,Management,Rajeev Jain,"AUM may grow 15% odd, as Sidhant is saying, but in terms of disbursement growth,",0,Cost & Sales Performance
BAJAJFIN,NBFC,Q1FY25,Analyst,Chintan,"And the final one, perhaps, for Sandeep, could you just give us some sense of",0,Cost & Sales Performance
BAJAJFIN,NBFC,Q1FY25,Management,Sandeep Jain,"So the liability side, very clearly, NCD has seen almost 90-basis-point of",-1,General Discussion
BAJAJFIN,NBFC,Q1FY25,Management,Sandeep Jain,We have 85% of the bank moneys on external benchmark rate.,-1,General Discussion
BAJAJFIN,NBFC,Q1FY25,Analyst,Chintan,So the NIM improvement is now driven by the better liability transmission as,0,Cost & Sales Performance
BAJAJFIN,NBFC,Q1FY25,Management,Sandeep Jain,We were paying probably 70 - 80 basis points higher than the,-1,General Discussion
BAJAJFIN,NBFC,Q1FY25,Analyst,Abhijit Tibrewal,I stepped away from my desk for a couple of minutes.,-1,General Discussion
BAJAJFIN,NBFC,Q1FY25,Analyst,Abhijit Tibrewal,So let me know if any of my,0,Cost & Sales Performance
BAJAJFIN,NBFC,Q1FY25,Management,Rajeev Jain,I was seeing you guys at decimal; we move a percentage like.,0,Cost & Sales Performance
BAJAJFIN,NBFC,Q1FY25,Analyst,Abhijit Tibrewal,"Look, sir, the reason -- the only reason why I was asking is -- in the past, we",1,Analyst Q&A
BAJAJFIN,NBFC,Q1FY25,Management,Rajeev Jain,"I mean gold loan is adding net INR 2,000",0,Cost & Sales Performance
BAJAJFIN,NBFC,Q1FY25,Analyst,Abhijit Tibrewal,"Sir, the second question I had was about this working capital loans, fresh",0,Cost & Sales Performance
BAJAJFIN,NBFC,Q1FY25,Management,Rajeev Jain,"The only difference I would make, this is a customer between INR 7 crores to",0,Cost & Sales Performance
BAJAJFIN,NBFC,Q1FY25,Analyst,Abhijit Tibrewal,"And then just a related question because you spoke about leverage, even",-1,General Discussion
BAJAJFIN,NBFC,Q1FY25,Management,Rajeev Jain,"As I said, it's come a little too suddenly Abhijit.",-1,General Discussion
BAJAJFIN,NBFC,Q1FY25,Management,Rajeev Jain,"-- wait for 1 more quarter, we'll have",1,Analyst Q&A
BAJAJFIN,NBFC,Q1FY25,Analyst,Management,"So we just add to what Rajeev has been saying, and I know that we've discussed",3,Management Commentary
BAJAJFIN,NBFC,Q1FY25,Analyst,Ajit Kumar,"Thank you, Rajeev sir, Sandeep and Bajaj Finance team.",-1,General Discussion
BAJAJFIN,NBFC,Q1FY25,Management,Rajeev Jain,Good night is the only closing comment – it’s been a long day.,2,Business Opportunities
BAJAJFIN,NBFC,Q2FY25,Management,Rajeev Jain,"Good evening all of you, the investor deck for Q2 FY '26 has already been uploaded on our",2,Business Opportunities
BAJAJFIN,NBFC,Q2FY25,Management,Rajeev Jain,"18 to 20 basis points as Sandeep is correcting me, which is really how it is for the last 2-3 years,",-1,General Discussion
BAJAJFIN,NBFC,Q2FY25,Management,Rajeev Jain,It's Navratri to Bhai Dooj or 35-day peak kick-off of the festival and end of the,3,Management Commentary
BAJAJFIN,NBFC,Q2FY25,Analyst,Kunal Shah,"Rajeev, so firstly, with respect to growth, you indicated mortgages and SME growing slightly",0,Cost & Sales Performance
BAJAJFIN,NBFC,Q2FY25,Management,Rajeev Jain,"Both these contribute to 31% and 14%, 45% of the balance sheet, right?",-1,General Discussion
BAJAJFIN,NBFC,Q2FY25,Analyst,Kunal Shah,"And in fact, now rural B2C would also start given that now it's starting into green, so that",-1,General Discussion
BAJAJFIN,NBFC,Q2FY25,Analyst,Kunal Shah,"And secondly, with respect to asset quality, so stage 3, it's moving up.",-1,General Discussion
BAJAJFIN,NBFC,Q2FY25,Management,Sandeep Jain,"So I think if you look at even last year quarter 2, you would see that the GNPA sequentially",1,Analyst Q&A
BAJAJFIN,NBFC,Q2FY25,Management,Rajeev Jain,"And correspondingly, just to -- correspondingly, there is a benefit that appears because of fewer",-1,General Discussion
BAJAJFIN,NBFC,Q2FY25,Management,Sandeep Jain,"Having said so, the number has gone up between, say, last year same time to now.",0,Cost & Sales Performance
BAJAJFIN,NBFC,Q2FY25,Management,Rajeev Jain,"So sequentially is purely number of days, Kunal?",3,Management Commentary
BAJAJFIN,NBFC,Q2FY25,Management,Sandeep Jain,And the last point on that is -- to the point that you're making on stage 2 to stage 3.,1,Analyst Q&A
BAJAJFIN,NBFC,Q2FY25,Analyst,Jay,"Sir, my first question would be on the MFI lending.",0,Cost & Sales Performance
BAJAJFIN,NBFC,Q2FY25,Analyst,Jay,"Sir, we see there is a 217% growth year-on-",0,Cost & Sales Performance
BAJAJFIN,NBFC,Q2FY25,Management,Rajeev Jain,"So we continue to tread carefully, knowing fully well as to what's happening in",1,Analyst Q&A
BAJAJFIN,NBFC,Q2FY25,Analyst,Jay,"And sir, do we have a partnership with the OEMs?",0,Cost & Sales Performance
BAJAJFIN,NBFC,Q2FY25,Management,Rajeev Jain,"Like in a typical B2B business, this is a B2B business.",0,Cost & Sales Performance
BAJAJFIN,NBFC,Q2FY25,Management,Rajeev Jain,We work closely -- they are mostly very,0,Cost & Sales Performance
BAJAJFIN,NBFC,Q2FY25,Management,Rajeev Jain,We are in 400 towns in India at this point in time.,0,Cost & Sales Performance
BAJAJFIN,NBFC,Q2FY25,Management,Rajeev Jain,"So which is building out, it's too small as yet, but promising.",0,Cost & Sales Performance
BAJAJFIN,NBFC,Q2FY25,Management,Rajeev Jain,"As we had outlined, we are seeing in last -- first quarter, we talked about it that we are seeing",1,Analyst Q&A
BAJAJFIN,NBFC,Q2FY25,Analyst,Sucrit Patil,The first is it's a forward looking question.,1,Analyst Q&A
BAJAJFIN,NBFC,Q2FY25,Management,Rajeev Jain,"I mean we could spend 1 hour on this question, quite honestly.",-1,General Discussion
BAJAJFIN,NBFC,Q2FY25,Analyst,Sucrit Patil,"My final question, again, a forward-looking one, is about margins and cost planning.",0,Cost & Sales Performance
BAJAJFIN,NBFC,Q2FY25,Management,Rajeev Jain,"So at a fundamental level, process automation, technology leadership -- technology",-1,General Discussion
BAJAJFIN,NBFC,Q2FY25,Analyst,Abhijit Tibrewal,First is in addition to what we have already shared on the MSME,-1,General Discussion
BAJAJFIN,NBFC,Q2FY25,Management,Sandeep Jain,"Yes, the other point that I want to make, I think it's in the interest of all the participants on the",-1,General Discussion
BAJAJFIN,NBFC,Q2FY25,Management,Rajeev Jain,And actions have been outlined to all the investors.,0,Cost & Sales Performance
BAJAJFIN,NBFC,Q2FY25,Management,Rajeev Jain,"And as Sandeep said, it's not changing the",-1,General Discussion
BAJAJFIN,NBFC,Q2FY25,Analyst,Abhijit Tibrewal,"And then the only other question I had was, I mean, maybe 15 days that the festive season",0,Cost & Sales Performance
BAJAJFIN,NBFC,Q2FY25,Management,Rajeev Jain,I think we're surprised by the -- given that the festive,0,Cost & Sales Performance
BAJAJFIN,NBFC,Q2FY25,Analyst,Abhijit Tibrewal,"And sir, would you also agree that, I mean, this momentum has sustained across most of",-1,General Discussion
BAJAJFIN,NBFC,Q2FY25,Management,Rajeev Jain,"Abhijit, just to be fair, I would just add, we are very dominant in electronics, so we can -- what",1,Analyst Q&A
BAJAJFIN,NBFC,Q2FY25,Analyst,Piran Engineer,"So just wanted to get some sense on how things stand in rural unsecured, rural",-1,General Discussion
BAJAJFIN,NBFC,Q2FY25,Management,Rajeev Jain,"The answer is -- and principally, that was -- Piran, it's a fair question.",1,Analyst Q&A
BAJAJFIN,NBFC,Q2FY25,Management,Rajeev Jain,"Les than 1%, is what somebody with 2PL would be.",0,Cost & Sales Performance
BAJAJFIN,NBFC,Q2FY25,Management,Rajeev Jain,"In urban, it would be 4% -- 3% or 4%?",0,Cost & Sales Performance
BAJAJFIN,NBFC,Q2FY25,Management,Rajeev Jain,"This number used to be 13% and a year ago, 13% and 3%.",0,Cost & Sales Performance
BAJAJFIN,NBFC,Q2FY25,Analyst,Piran Engineer,And this is on incremental or it is on your book?,0,Cost & Sales Performance
BAJAJFIN,NBFC,Q2FY25,Management,Rajeev Jain,"Since February, whatever you're originating is on these numbers.",0,Cost & Sales Performance
BAJAJFIN,NBFC,Q2FY25,Management,Sandeep Jain,"And talking about rural B2C, after a long time, we have now revised the management assessment",-1,General Discussion
BAJAJFIN,NBFC,Q2FY25,Analyst,Piran Engineer,"And just secondly, you had mentioned captive 2-wheelers, which is 1.5% of the",0,Cost & Sales Performance
BAJAJFIN,NBFC,Q2FY25,Analyst,Piran Engineer,And what would -- so the non-captive would be how much?,-1,General Discussion
BAJAJFIN,NBFC,Q2FY25,Analyst,Piran Engineer,Just want to get a sense of what's,1,Analyst Q&A
BAJAJFIN,NBFC,Q2FY25,Management,Rajeev Jain,"That if you see the number at -- if you go to -- we have separated it in the portfolio quality, that",0,Cost & Sales Performance
BAJAJFIN,NBFC,Q2FY25,Management,Sandeep Jain,"And Piran, to the question that you're asking on open market 2-wheeler financing, while the",0,Cost & Sales Performance
BAJAJFIN,NBFC,Q2FY25,Analyst,Ashish Sharma,So have we given the guidance for FY'27?,-1,General Discussion
BAJAJFIN,NBFC,Q2FY25,Management,Sandeep Jain,"So we are not giving an absolute guidance at this point in time, Ashish.",-1,General Discussion
BAJAJFIN,NBFC,Q2FY25,Management,Rajeev Jain,"The gold loan business, the new car financing business are much lower risk business.",0,Cost & Sales Performance
BAJAJFIN,NBFC,Q2FY25,Management,Sandeep Jain,"And my hunch would be that while the range currently is 185 to 195 for the current year, and",-1,General Discussion
BAJAJFIN,NBFC,Q2FY25,Analyst,Ashish Sharma,"Just reconfirming one thing in terms of the MSME guidance of 10-12%, do you think given the",-1,General Discussion
BAJAJFIN,NBFC,Q2FY25,Analyst,Ashish Sharma,"Thank you, sir, and all the best for the next quarter.",2,Business Opportunities
BAJAJFIN,NBFC,Q2FY25,Management,Sandeep Jain,"The last point probably, Ashish, on that, as an organization, we have never shied away from",-1,General Discussion
BAJAJFIN,NBFC,Q2FY25,Management,Sandeep Jain,But I think the best assumption that we have at this point in time,-1,General Discussion
BAJAJFIN,NBFC,Q2FY25,Analyst,"Idea would be that work with improving the overall cost of fund environment as far as Bajaj
Finance is concerned and use that opportunity to pass on the benefit to the customers and
maintain the NIM at current level.
Viral","And just as a clarification, Sandeep, in this guidance on cost of fund, you have taken only 100",0,Cost & Sales Performance
